Year,Sample Date,Station,Latitude,Longitude,P. bah Cysts (per g wet sediment)
2024,08/13/2024,OTB04,28.0138,-82.6716833,13
2024,08/13/2024,OTB07,27.9702833,-82.6760833,205
2024,08/13/2024,OTB11,27.9440667,-82.7211667,143
2024,08/13/2024,OTB12,27.9393167,-82.6858333,458
2024,08/12/2024,OTB20,27.9349167,-82.60615,135
2024,08/12/2024,OTB21,27.9306,-82.5563667,41
2024,08/12/2024,OTB28,27.8781,-82.5790167,1
2024,08/13/2024,PCS06,27.9424,-82.67505,420
2024,08/13/2024,PCS26,27.9561,-82.7056333,1815
2024,08/13/2024,PCS26 - DUP,27.9561,-82.7056333,1632
2024,08/12/2024,PCS36,27.85955,-82.5532167,6
2024,08/12/2024,PCS40,27.9285667,-82.5873667,12
2024,08/12/2024,PCS41,27.9375,-82.56505,14
2024,08/12/2024,PCS42,27.9529833,-82.6415167,238
2024,08/13/2024,PCS46,27.99045,-82.6592333,62
2024,08/13/2024,PCS47,27.9726167,-82.6202667,30
2024,08/12/2024,PCS50,27.9185333,-82.5378667,2
2024,08/12/2024,PCS51,27.8899167,-82.5487,0
2024,08/13/2024,PCS60,27.9902667,-82.6315667,14
2024,08/13/2024,PCS61,27.96875,-82.5619833,30
2024,08/13/2024,PCS62,27.9699167,-82.5743,115
2024,08/12/2024,PCS63,27.9676,-82.5758833,426
2024,08/13/2024,PCS64,27.9794833,-82.6833167,5
2024,08/13/2024,PCS65,27.9456167,-82.69445,41
2024,08/12/2024,PCS66,27.9277333,-82.63975,92
2024,08/12/2024,PCS67,27.90005,-82.5918,7
2024,08/12/2024,PCS68,27.85195,-82.5807833,3
